2022-05-03 14:58:13.857075 p175 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.2-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: logger_setup, Content: {'simulation_id': '1', 'simulation_run_id': 'basic_config-2022_05_03-02_58_13_PM', ...-quit_0:04:59.961243)
2022-05-03 14:58:13.860785 p175 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.2-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: ActorAddr-(T|:37505), Recipients: , Directive: simulation_properties, Content: {'properties': {'number_of_rounds': 1, 'payment_per_ta...-quit_0:04:59.958101)
2022-05-03 14:58:13.862694 p175 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.2-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: setup_institution, Content: {'order': 1, 'institution_class': 'institution.TaxInstitution', 'source_hash':...-quit_0:04:59.956123)
2022-05-03 14:58:13.864702 p175 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.2-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: setup_agents, Content: {'agent_class': 'agent.TaxAgent', 'num_agents': 5, 'source_hash': '833c11b7933ffab4...-quit_0:04:59.954453)
2022-05-03 14:58:13.866539 p175 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.2-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: experimenter, Recipients: , Directive: start_environment, Content: None>-quit_0:04:59.952804)
2022-05-03 14:59:10.792831 p25 I    ++++ Admin started @ ActorAddr-(T|:19000) / gen (3, 10)
2022-05-03 14:59:10.884516 p25 I    Pending Actor request received for mTree.server.actor_system_startup.SimpleSourceAuthority reqs None from ActorAddr-(T|:36517)
2022-05-03 14:59:10.908759 p29 I    Starting Actor mTree.server.actor_system_startup.SimpleSourceAuthority at ActorAddr-(T|:42463) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 14:59:14.476400 p25 I    Pending Actor request received for mTree.microeconomic_system.dispatcher.Dispatcher reqs None from ActorAddr-(T|:40755)
2022-05-03 14:59:14.491498 p163 I    Starting Actor mTree.microeconomic_system.dispatcher.Dispatcher at ActorAddr-(T|:33833) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 14:59:14.567407 p25 I    Pending Actor request received for environment.TaxEnvironment (833c11b7933ffab469bf8acd0ad59493) reqs None from ActorAddr-(T|:33833)
2022-05-03 14:59:14.604348 p25 ERR  sourceload realization failure in environment: unexpected indent (environment.py, line 115)
2022-05-03 14:59:14.610051 p163 I    Pending Actor create for ActorAddr-(T|:33833) failed (3589): Source hash {{833c11b7933ffab469bf8acd0ad59493}}: unexpected indent (environment.py, line 115)
2022-05-03 14:59:14.616273 p163 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: logger_setup, Content: {'simulation_id': '1', 'simulation_run_id': 'basic_config-2022_05_03-02_59_14_PM', ...-quit_0:04:59.951436)
2022-05-03 14:59:14.618967 p163 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: ActorAddr-(T|:33833), Recipients: , Directive: simulation_properties, Content: {'properties': {'number_of_rounds': 1, 'payment_per_ta...-quit_0:04:59.955096)
2022-05-03 14:59:14.622342 p163 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: setup_institution, Content: {'order': 1, 'institution_class': 'institution.TaxInstitution', 'source_hash':...-quit_0:04:59.953599)
2022-05-03 14:59:14.624696 p163 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: setup_agents, Content: {'agent_class': 'agent.TaxAgent', 'num_agents': 5, 'source_hash': '833c11b7933ffab4...-quit_0:04:59.950393)
2022-05-03 14:59:14.626793 p163 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: experimenter, Recipients: , Directive: start_environment, Content: None>-quit_0:04:59.948449)
2022-05-03 14:59:14.860792 p25 I    Pending Actor request received for mTree.server.actor_system_startup.SimpleSourceAuthority reqs None from ActorAddr-(T|:41181)
2022-05-03 14:59:14.875215 p165 I    Starting Actor mTree.server.actor_system_startup.SimpleSourceAuthority at ActorAddr-(T|:42629) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 17:06:53.615191 p27 I    ++++ Admin started @ ActorAddr-(T|:19000) / gen (3, 10)
2022-05-03 17:06:53.699426 p27 I    Pending Actor request received for mTree.server.actor_system_startup.SimpleSourceAuthority reqs None from ActorAddr-(T|:39423)
2022-05-03 17:06:53.715459 p31 I    Starting Actor mTree.server.actor_system_startup.SimpleSourceAuthority at ActorAddr-(T|:42857) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 17:06:54.735722 p27 I    Pending Actor request received for mTree.server.actor_system_startup.SimpleSourceAuthority reqs None from ActorAddr-(T|:33365)
2022-05-03 17:06:54.743326 p33 I    Starting Actor mTree.server.actor_system_startup.SimpleSourceAuthority at ActorAddr-(T|:46007) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 17:07:01.419111 p27 I    Pending Actor request received for mTree.microeconomic_system.dispatcher.Dispatcher reqs None from ActorAddr-(T|:39769)
2022-05-03 17:07:01.435113 p176 I    Starting Actor mTree.microeconomic_system.dispatcher.Dispatcher at ActorAddr-(T|:39759) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 17:07:01.480447 p27 I    Pending Actor request received for environment.TaxEnvironment (d2d154aaa0275832e41ddd8ecd1f6dce) reqs None from ActorAddr-(T|:39759)
2022-05-03 17:07:01.502558 p27 ERR  sourceload realization failure in environment: unexpected indent (environment.py, line 112)
2022-05-03 17:07:01.507225 p176 I    Pending Actor create for ActorAddr-(T|:39759) failed (3589): Source hash {{d2d154aaa0275832e41ddd8ecd1f6dce}}: unexpected indent (environment.py, line 112)
2022-05-03 17:07:01.512291 p176 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: logger_setup, Content: {'simulation_id': '1', 'simulation_run_id': 'basic_config-2022_05_03-05_07_01_PM', ...-quit_0:04:59.968057)
